Destination,Origin,Flow
AAE,ALG,1814
AAE,BKO,977
AAE,BZV,195
AAE,CAI,203
AAE,CDG,2391
AAE,CMN,696
AAE,COO,186
AAE,DEL,101
AAE,DLA,216
AAE,FEZ,255
AAE,FIH,1561
AAE,JIB,359
AAE,LFW,273
AAE,LYS,1128
AAE,MRS,1519
AAE,ORN,2802
AAE,ORY,3150
AAE,OUA,656
AAE,PEK,123
AAE,PRG,102
AAE,SIN,107
AAE,TLV,138
AAL,AGP,8306
AAL,BBU,104
AAL,BKK,131
AAL,CMN,217
AAL,CPH,6343
AAL,KBP,122
AAL,KEF,1924
AAL,LGW,13111
AAL,LPA,2210
AAL,NCE,2096
AAL,ORY,15102
AAL,OTP,121
AAL,PMI,6686
AAL,RAK,137
AAL,SIN,108
AAL,SOF,120
AAL,SXF,130
AAL,SZG,786
AAL,VIE,129
AAN,ADE,509
AAN,ALP,162
AAN,ALY,317
AAN,AMM,8624
AAN,BGW,223
AAN,BKK,313
AAN,BOM,452
AAN,CAI,287
AAN,CCJ,9499
AAN,COK,1442
AAN,DEL,664
AAN,FIH,404
AAN,IXE,543
AAN,JED,130
AAN,JIB,403
AAN,KBL,643
AAN,KBP,183
AAN,LHE,133
AAN,MNL,145
AAN,PEW,24752
AAN,RUH,173
AAN,SIN,470
AAN,TRV,154
AAR,AGP,7045
AAR,BKK,234
AAR,BMA,5168
AAR,CMN,113
AAR,DUB,109
AAR,FIH,326
AAR,PRG,215
AAR,RIX,250
AAR,SIN,184
AAR,STN,16843
AAR,SXF,210
AAR,TLV,135
AAR,VIE,129
AAT,ALA,153
AAT,BAV,155
AAT,BHY,165
AAT,CAN,140
AAT,CGO,382
AAT,CGQ,323
AAT,CKG,721
AAT,CSX,204
AAT,CTU,7433
AAT,DEL,108
AAT,DYU,194
AAT,FRU,346
AAT,HET,340
AAT,HGH,156
AAT,HRB,368
AAT,INC,1922
AAT,ISB,126
AAT,KBL,387
AAT,LBD,953
AAT,LHW,510
AAT,NNG,394
AAT,OVB,112
AAT,PEK,816
AAT,SHA,172
AAT,SJW,164
AAT,TAS,353
AAT,TYN,304
AAT,WUH,515
AAT,XIY,1152
AAT,XUZ,110
AAT,YCU,161
AAT,YIH,251
ABA,BAX,4400
ABA,BKK,106
ABA,DME,760
ABA,DOK,185
ABA,EVN,108
ABA,FIH,214
ABA,FRU,359
ABA,KIV,142
ABA,LBD,463
ABA,SIN,183
ABA,VKO,1302
ABA,VVO,343
ABC,ACE,700
ABC,BCN,623
ABC,CMN,115
ABC,FIH,110
ABC,PMI,914
ABC,PRG,101
ABC,SXF,163
ABD,ADE,233
ABD,ALY,257
ABD,BKK,415
ABD,BOM,140
ABD,CAI,149
ABD,DEL,155
ABD,DXB,11985
ABD,FIH,159
ABD,FRU,101
ABD,IFN,5659
ABD,JIB,247
ABD,KBL,347
ABD,MNL,198
ABD,PEK,185
ABD,PEW,162
ABD,SIN,284
ABD,SYZ,11292
ABD,TBZ,104
ABD,THR,9090
ABE,ATL,19077
ABE,CLE,5939
ABE,CLT,9090
ABE,DEN,290
ABE,DFW,110
ABE,DTW,6540
ABE,DUB,301
ABE,FLL,11817
ABE,GRU,108
ABE,IAD,3426
ABE,IAH,124
ABE,LAS,193
ABE,LAX,248
ABE,LHR,129
ABE,MCI,102
ABE,MCO,29821
ABE,MEX,185
ABE,MSP,150
ABE,MSY,129
ABE,NRT,107
ABE,ORD,7960
ABE,PEK,195
ABE,PHX,306
ABE,PIE,2432
ABE,SAN,133
ABE,SEA,171
ABE,SFB,1946
ABE,SFO,335
ABE,TPA,127
ABE,YYZ,4898
ABI,DFW,9166
ABJ,ABV,3567
ABJ,ACA,135
ABJ,ACC,45868
ABJ,ACE,371
ABJ,ADB,183
ABJ,ADD,3567
ABJ,ADE,331
ABJ,AGA,1085
ABJ,AGP,413
ABJ,AKR,233
ABJ,ALA,174
ABJ,ALC,220
ABJ,ALG,3362
ABJ,ALP,607
ABJ,ALY,805
ABJ,AMD,680
ABJ,AMM,1124
ABJ,AMS,487
ABJ,APL,263
ABJ,ARN,144
ABJ,ASB,101
ABJ,ASM,105
ABJ,ATH,512
ABJ,ATL,183
ABJ,ATQ,797
ABJ,AUH,460
ABJ,AYT,956
ABJ,BAV,626
ABJ,BAX,247
ABJ,BBU,454
ABJ,BCN,651
ABJ,BEG,995
ABJ,BEL,1400
ABJ,BES,218
ABJ,BEY,1826
ABJ,BFS,218
ABJ,BGF,124
ABJ,BGW,886
ABJ,BGY,179
ABJ,BHX,128
ABJ,BHY,563
ABJ,BIO,153
ABJ,BJA,186
ABJ,BJM,223
ABJ,BKK,901
ABJ,BKO,19886
ABJ,BLJ,185
ABJ,BLQ,386
ABJ,BLR,341
ABJ,BND,200
ABJ,BNI,920
ABJ,BOD,458
ABJ,BOG,454
ABJ,BOM,1609
ABJ,BOY,10296
ABJ,BRU,13049
ABJ,BUD,335
ABJ,BVA,253
ABJ,BZV,2613
ABJ,CAG,157
ABJ,CAI,3567
ABJ,CAN,175
ABJ,CBQ,370
ABJ,CCJ,1144
ABJ,CCS,168
ABJ,CDG,41136
ABJ,CFE,204
ABJ,CGN,206
ABJ,CIA,322
ABJ,CKY,12884
ABJ,CLO,158
ABJ,CMN,44118
ABJ,CNX,152
ABJ,COO,39176
ABJ,COR,103
ABJ,CPH,223
ABJ,CRL,863
ABJ,CTA,534
ABJ,CTG,148
ABJ,CUN,188
ABJ,CZL,452
ABJ,DAC,211
ABJ,DAM,528
ABJ,DAR,514
ABJ,DEL,1578
ABJ,DKR,77111
ABJ,DLA,1619
ABJ,DME,118
ABJ,DOH,633
ABJ,DOK,524
ABJ,DUB,209
ABJ,DUS,301
ABJ,DXB,962
ABJ,EDI,113
ABJ,EDL,183
ABJ,EIN,171
ABJ,EMA,482
ABJ,ENU,1223
ABJ,ESB,925
ABJ,EVN,1652
ABJ,EZE,248
ABJ,FBM,902
ABJ,FCO,1089
ABJ,FEZ,1734
ABJ,FIH,1128
ABJ,FKI,929
ABJ,FNA,619
ABJ,FOR,208
ABJ,FRA,616
ABJ,FRL,172
ABJ,FRU,459
ABJ,GAU,487
ABJ,GIG,336
ABJ,GLA,150
ABJ,GMA,134
ABJ,GOI,534
ABJ,GOM,344
ABJ,GOT,255
ABJ,GRU,504
ABJ,GUA,359
ABJ,GVA,341
ABJ,GYD,504
ABJ,GYE,102
