stratum,cases_2025,burden_binary
Anderson,0,0
Andrews,3,1
Angelina,0,0
Aransas,0,0
Archer,0,0
Armstrong,0,0
Atascosa,1,1
Austin,0,0
Bailey,2,1
Bandera,0,0
Bastrop,0,0
Baylor,0,0
Bee,0,0
Bell,1,1
Bexar,2,1
Blanco,0,0
Borden,1,1
Bosque,0,0
Bowie,0,0
Brazoria,1,1
Brazos,0,0
Brewster,1,1
Briscoe,0,0
Brooks,0,0
Brown,1,1
Burleson,0,0
Burnet,0,0
Caldwell,0,0
Calhoun,0,0
Callahan,0,0
Cameron,0,0
Camp,0,0
Carson,1,1
Cass,0,0
Castro,0,0
Chambers,0,0
Cherokee,0,0
Childress,0,0
Clay,0,0
Cochran,14,1
Coke,0,0
Coleman,0,0
Collin,4,1
Collingsworth,0,0
Colorado,0,0
Comal,0,0
Comanche,0,0
Concho,0,0
Cooke,0,0
Coryell,0,0
Cottle,0,0
Crane,0,0
Crockett,0,0
Crosby,0,0
Culberson,0,0
Dallam,7,1
Dallas,1,1
Dawson,26,1
Deaf Smith,0,0
Delta,0,0
Denton,2,1
Dewitt,0,0
Dickens,0,0
Dimmit,0,0
Donley,0,0
Duval,0,0
Eastland,2,1
Ector,12,1
Edwards,0,0
El Paso,61,1
Ellis,0,0
Erath,1,1
Falls,0,0
Fannin,4,1
Fayette,0,0
Fisher,0,0
Floyd,0,0
Foard,0,0
Fort Bend,1,1
Franklin,0,0
Freestone,0,0
Frio,0,0
Gaines,414,1
Galveston,0,0
Garza,2,1
Gillespie,0,0
Glasscock,0,0
Goliad,0,0
Gonzales,0,0
Gray,0,0
Grayson,0,0
Gregg,0,0
Grimes,0,0
Guadalupe,0,0
Hale,5,1
Hall,0,0
Hamilton,0,0
Hansford,0,0
Hardeman,1,1
Hardin,0,0
Harris,5,1
Harrison,1,1
Hartley,0,0
Haskell,0,0
Hays,1,1
Hemphill,0,0
Henderson,0,0
Hidalgo,0,0
Hill,0,0
Hockley,7,1
Hood,0,0
Hopkins,0,0
Houston,0,0
Howard,0,0
Hudspeth,0,0
Hunt,0,0
Hutchinson,0,0
Irion,0,0
Jack,0,0
Jackson,0,0
Jasper,0,0
Jeff Davis,0,0
Jefferson,0,0
Jim Hogg,0,0
Jim Wells,0,0
Johnson,0,0
Jones,0,0
Karnes,0,0
Kaufman,0,0
Kendall,0,0
Kenedy,0,0
Kent,0,0
Kerr,0,0
Kimble,0,0
King,0,0
Kinney,0,0
Kleberg,0,0
Knox,0,0
La Salle,0,0
Lamar,28,1
Lamb,1,1
Lampasas,0,0
Lavaca,0,0
Lee,0,0
Leon,0,0
Liberty,0,0
Limestone,0,0
Lipscomb,0,0
Live Oak,0,0
Llano,0,0
Loving,0,0
Lubbock,52,1
Lynn,2,1
Madison,0,0
Marion,0,0
Martin,3,1
Mason,0,0
Matagorda,0,0
Maverick,0,0
Mcculloch,0,0
McLennan,9,1
Mcmullen,0,0
Medina,0,0
Menard,0,0
Midland,7,1
Milam,0,0
Mills,0,0
Mitchell,0,0
Montague,0,0
Montgomery,0,0
Moore,0,0
Morris,0,0
Motley,0,0
Nacogdoches,0,0
Navarro,0,0
Newton,0,0
Nolan,0,0
Nueces,0,0
Ochiltree,0,0
Oldham,0,0
Orange,0,0
Palo Pinto,0,0
Panola,0,0
Parker,0,0
Parmer,5,1
Pecos,0,0
Polk,0,0
Potter,1,1
Presidio,0,0
Rains,1,1
Randall,3,1
Reagan,0,0
Real,0,0
Red River,0,0
Reeves,2,1
Refugio,0,0
Roberts,0,0
Robertson,0,0
Rockwall,2,1
Runnels,0,0
Rusk,0,0
Sabine,0,0
San Augustine,0,0
San Jacinto,0,0
San Patricio,0,0
San Saba,0,0
Schleicher,0,0
Scurry,1,1
Shackelford,1,1
Shelby,0,0
Sherman,0,0
Smith,0,0
Somervell,0,0
Starr,0,0
Stephens,0,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,0,0
Tarrant,4,1
Taylor,0,0
Terrell,0,0
Terry,60,1
Throckmorton,0,0
Titus,0,0
Tom Green,0,0
Travis,2,1
Trinity,0,0
Tyler,0,0
Upshur,5,1
Upton,0,0
Uvalde,0,0
Val Verde,0,0
Van Zandt,0,0
Victoria,0,0
Walker,0,0
Waller,0,0
Ward,0,0
Washington,0,0
Webb,0,0
Wharton,0,0
Wheeler,0,0
Wichita,0,0
Wilbarger,0,0
Willacy,0,0
Williamson,8,1
Wilson,0,0
Winkler,0,0
Wise,0,0
Wood,0,0
Yoakum,20,1
Young,0,0
Zapata,0,0
Zavala,0,0
