stratum,coverage
Anderson,0.9478584729981379
Andrews,0.9547038327526133
Angelina,0.9386617100371747
Aransas,0.9726775956284153
Archer,0.9496402877697842
Armstrong,0.9230769230769231
Atascosa,0.9614197530864198
Austin,0.9477611940298507
Bailey,0.9626168224299065
Bandera,0.9347826086956522
Bastrop,0.9546099290780142
Baylor,0.975
Bee,0.9673202614379085
Bell,0.9512611416650862
Bexar,0.9474507601588511
Blanco,0.8604651162790697
Borden,0.8823529411764706
Bosque,0.9297297297297298
Bowie,0.9256474519632414
Brazoria,0.9621274834437086
Brazos,0.9798994974874372
Brewster,0.8395061728395061
Briscoe,1.0
Brooks,1.0
Brown,0.96
Burleson,0.9619047619047619
Burnet,0.8810020876826722
Caldwell,0.9724770642201835
Calhoun,0.9718875502008032
Callahan,0.9146341463414634
Cameron,0.9816646065100948
Camp,0.9319727891156463
Carson,0.9195402298850575
Cass,0.9560117302052786
Castro,0.963302752293578
Chambers,0.9388004895960832
Cherokee,0.9779005524861878
Childress,0.8412698412698413
Clay,0.8918918918918919
Cochran,0.926829268292683
Coke,0.9117647058823529
Coleman,0.9428571428571428
Collin,0.9304234062797336
Collingsworth,0.8780487804878049
Colorado,0.9745454545454545
Comal,0.916325771662328
Comanche,0.9695121951219512
Concho,1.0
Cooke,0.9154639175257732
Coryell,0.9429657794676806
Cottle,1.0
Crane,0.9767441860465116
Crockett,1.0
Crosby,0.9583333333333334
Culberson,1.0
Dallam,0.9659090909090909
Dallas,0.9014804312704012
Dawson,0.875
Deaf Smith,0.9933333333333333
Delta,0.9428571428571428
Denton,0.9171519613229315
Dewitt,0.9518716577540107
Dickens,0.8888888888888888
Dimmit,0.992
Donley,0.9090909090909091
Duval,0.967741935483871
Eastland,0.9032258064516129
Ector,0.9364535768645358
Edwards,0.9333333333333333
El Paso,0.9777528319216247
Ellis,0.9302619122751656
Erath,0.9494252873563218
Falls,0.9550561797752809
Fannin,0.9173789173789174
Fayette,0.9578059071729957
Fisher,0.926829268292683
Floyd,0.96875
Foard,1.0
Fort Bend,0.9522980501392758
Franklin,0.940677966101695
Freestone,0.9464285714285714
Frio,0.9833333333333333
Gaines,0.7725631768953068
Galveston,0.9400709960325746
Garza,0.8648648648648649
Gillespie,0.9117647058823529
Glasscock,1.0
Goliad,0.9672131147540983
Gonzales,0.9752066115702479
Gray,0.9716981132075472
Grayson,0.9310144927536231
Gregg,0.9526592635885447
Grimes,0.9333333333333333
Guadalupe,0.9590316573556797
Hale,0.9761904761904762
Hall,0.7777777777777778
Hamilton,0.8958333333333334
Hansford,0.9634146341463414
Hardeman,0.9722222222222222
Hardin,0.918546365914787
Harris,0.9095429521641563
Harrison,0.9299883313885647
Hartley,0.7666666666666667
Haskell,0.9375
Hays,0.9462686567164179
Hemphill,0.9583333333333334
Henderson,0.9276759884281581
Hidalgo,0.968848276271287
Hill,0.8928571428571429
Hockley,0.9453376205787781
Hood,0.9140625
Hopkins,0.9676724137931034
Houston,0.9238578680203046
Howard,0.9539641943734015
Hudspeth,0.9375
Hunt,0.934136546184739
Hutchinson,0.9523809523809523
Irion,0.6521739130434783
Jack,0.8352941176470589
Jackson,0.953307392996109
Jasper,0.9059139784946236
Jeff Davis,0.875
Jefferson,0.9506702412868633
Jim Hogg,0.9433962264150944
Jim Wells,0.9685534591194969
Johnson,0.9277467411545623
Jones,0.9661016949152542
Karnes,0.9813664596273292
Kaufman,0.9440370513315323
Kendall,0.9122373300370828
Kenedy,0.9230769230769231
Kent,1.0
Kerr,0.9290322580645162
Kimble,0.9302325581395349
King,1.0
Kinney,0.90625
Kleberg,0.9615384615384616
Knox,0.92
La Salle,0.9710144927536232
Lamar,0.9425287356321839
Lamb,0.9254658385093167
Lampasas,0.9561752988047809
Lavaca,0.9538904899135446
Lee,0.9468599033816425
Leon,0.9519230769230769
Liberty,0.9661117717003567
Limestone,0.9215686274509803
Lipscomb,0.7209302325581395
Live Oak,0.9849624060150376
Llano,0.8955223880597015
Loving,
Lubbock,0.9134107708553326
Lynn,0.9130434782608695
Madison,0.9657142857142857
Marion,0.9859154929577465
Martin,0.9295774647887324
Mason,0.9230769230769231
Matagorda,0.9696969696969697
Maverick,0.9394250513347022
Mcculloch,0.9397590361445783
McLennan,0.9528181586330018
Mcmullen,0.9375
Medina,0.9665354330708661
Menard,1.0
Midland,0.9444864048338368
Milam,0.9312714776632303
Mills,1.0
Mitchell,0.84
Montague,0.87
Montgomery,0.9266927811975377
Moore,0.9656992084432717
Morris,0.967479674796748
Motley,1.0
Nacogdoches,0.9464751958224543
Navarro,0.9625850340136054
Newton,0.9292035398230089
Nolan,0.9722222222222222
Nueces,0.9657461497610197
Ochiltree,0.9791666666666666
Oldham,0.8421052631578947
Orange,0.9159663865546218
